x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,avanza
2.3,56.0,3,4,1,26,3,4,0,3.49,26.4,5,3,2.9,9.1,73.0,1,5.0,0
15.1,29.0,1,0,0,34,1,4,0,3.7,57.8,2,2,0.4,5.3,51.0,0,1.0,0
6.6,59.0,4,2,0,42,5,6,2,4.23,3.1,6,1,0.9,1.0,49.0,1,6.0,1
4.6,79.0,3,5,1,25,3,7,0,3.71,89.2,1,2,4.3,2.5,18.0,1,5.0,1
0.8,73.0,3,2,1,33,3,4,2,3.62,44.8,7,0,0.3,35.3,62.0,0,,0
0.8,71.0,2,0,0,43,2,3,2,3.69,17.8,4,1,8.1,5.3,50.0,0,3.0,0
0.3,61.0,4,4,0,22,5,9,2,3.7,23.9,4,1,6.3,4.2,52.0,1,3.0,0
10.1,46.0,1,1,1,38,4,7,0,3.4,84.8,3,0,1.5,11.4,52.0,0,4.0,1
4.6,73.0,4,1,0,22,3,3,0,4.47,10.9,2,2,8.6,28.1,64.0,0,1.0,0
6.2,52.0,2,0,0,27,3,4,2,,92.5,2,2,8.7,4.3,17.0,0,6.0,1
0.1,98.0,4,1,0,30,3,3,1,4.11,37.3,2,2,7.3,3.0,32.0,1,7.0,1
17.5,74.0,3,3,0,40,3,6,3,3.39,25.1,5,1,1.5,27.9,79.0,0,3.0,1
8.9,56.0,2,3,0,29,3,2,0,4.02,33.2,8,2,4.3,17.8,32.0,1,3.0,0
1.2,56.0,3,2,1,36,3,5,2,3.87,40.9,2,3,2.4,14.6,39.0,0,1.0,0
1.0,64.0,3,0,0,29,3,2,0,3.81,54.8,4,1,3.1,9.8,69.0,0,1.0,0
1.0,61.0,2,2,0,30,1,2,1,3.87,58.7,5,1,2.1,6.7,51.0,0,4.0,0
1.8,82.0,4,1,1,46,1,4,3,3.97,44.8,1,2,0.0,12.2,51.0,0,4.0,1
3.7,68.0,3,3,1,25,2,3,2,3.71,44.6,5,2,0.0,2.9,74.0,1,5.0,1
2.8,54.0,3,0,0,42,2,2,2,3.73,28.5,5,2,5.9,20.4,41.0,1,5.0,0
1.7,93.0,2,1,0,35,5,9,1,4.03,38.4,2,3,11.7,6.5,42.0,1,4.0,0
4.7,66.0,3,3,1,30,4,7,3,3.34,46.7,2,1,1.0,16.9,61.0,0,2.0,1
0.8,77.0,4,4,0,24,6,7,2,3.28,59.8,1,2,3.1,20.0,52.0,0,10.0,1
1.7,56.0,3,0,1,25,3,4,0,3.87,13.1,4,2,1.5,1.0,65.0,0,4.0,0
2.3,70.0,5,2,1,28,3,6,0,3.0,76.4,4,1,2.6,13.5,40.0,1,3.0,0
3.0,70.0,4,1,0,34,4,10,0,3.13,68.1,4,0,0.5,4.3,53.0,1,1.0,0
7.7,37.0,2,1,1,40,3,3,0,4.52,29.9,4,3,5.2,5.3,49.0,1,2.0,0
1.1,95.0,2,2,0,32,3,6,3,4.42,45.9,2,2,2.9,15.9,44.0,1,7.0,1
3.6,84.0,4,1,0,33,3,9,1,3.57,94.7,4,0,1.5,37.9,31.0,0,7.0,0
4.5,59.0,3,4,1,34,3,5,1,4.2,2.0,3,3,4.4,19.5,44.0,0,4.0,1
0.2,48.0,1,3,0,39,4,4,1,4.21,81.1,2,1,2.9,4.1,42.0,0,3.0,0
4.7,70.0,3,3,0,41,4,6,1,3.99,51.2,2,2,2.1,14.8,69.0,1,4.0,1
0.9,66.0,3,3,1,23,6,2,1,3.77,61.9,2,2,3.0,4.8,59.0,1,5.0,1
0.3,70.0,4,4,1,32,5,8,0,4.05,68.5,3,1,12.3,6.9,57.0,1,4.0,1
